time,y,x,band,spatial_ref,Corn2_prepped_inputs_landsat_catd
2022-09-09,4218420.0,628710.0,1.0,0.0,NA
2022-09-09,4218570.0,628590.0,1.0,0.0,NA
2022-09-09,4218780.0,628530.0,1.0,0.0,NA
2022-09-09,4218240.0,628470.0,1.0,0.0,NA
2022-09-09,4218930.0,628650.0,1.0,0.0,NA
2022-09-09,4218720.0,628470.0,1.0,0.0,NA
2022-09-09,4218270.0,628590.0,1.0,0.0,NA
2022-09-09,4218480.0,628740.0,1.0,0.0,NA
2022-09-09,4218630.0,628680.0,1.0,0.0,NA
2022-09-09,4218540.0,628620.0,1.0,0.0,NA
2022-09-09,4218390.0,628770.0,1.0,0.0,NA
2022-09-09,4218960.0,628530.0,1.0,0.0,NA
2022-09-09,4218690.0,628770.0,1.0,0.0,NA
2022-09-09,4218900.0,628590.0,1.0,0.0,NA
2022-09-09,4218270.0,628470.0,1.0,0.0,NA
2022-09-09,4218630.0,628620.0,1.0,0.0,NA
2022-09-09,4218810.0,628710.0,1.0,0.0,NA
2022-09-09,4218360.0,628590.0,1.0,0.0,NA
2022-09-09,4218360.0,628530.0,1.0,0.0,NA
2022-09-09,4218540.0,628470.0,1.0,0.0,NA
2022-09-09,4218390.0,628740.0,1.0,0.0,NA
2022-09-09,4218420.0,628530.0,1.0,0.0,NA
2022-09-09,4218300.0,628560.0,1.0,0.0,NA
2022-09-09,4218720.0,628650.0,1.0,0.0,NA
2022-09-09,4218240.0,628500.0,1.0,0.0,NA
2022-09-09,4218780.0,628470.0,1.0,0.0,NA
2022-09-09,4218750.0,628560.0,1.0,0.0,NA
2022-09-09,4218750.0,628710.0,1.0,0.0,NA
2022-09-09,4218390.0,628530.0,1.0,0.0,NA
2022-09-09,4218510.0,628740.0,1.0,0.0,NA
2022-09-09,4218510.0,628680.0,1.0,0.0,NA
2022-09-09,4218360.0,628770.0,1.0,0.0,NA
2022-09-09,4218660.0,628770.0,1.0,0.0,NA
2022-09-09,4218510.0,628470.0,1.0,0.0,NA
2022-09-09,4218570.0,628560.0,1.0,0.0,NA
2022-09-09,4218810.0,628500.0,1.0,0.0,NA
2022-09-09,4218720.0,628500.0,1.0,0.0,NA
2022-09-09,4218330.0,628710.0,1.0,0.0,NA
2022-09-09,4218690.0,628530.0,1.0,0.0,NA
2022-09-09,4218600.0,628590.0,1.0,0.0,NA
2022-09-09,4218480.0,628710.0,1.0,0.0,NA
2022-09-09,4218600.0,628560.0,1.0,0.0,NA
2022-09-09,4218600.0,628650.0,1.0,0.0,NA
2022-09-09,4218390.0,628500.0,1.0,0.0,NA
2022-09-09,4218270.0,628620.0,1.0,0.0,NA
2022-09-09,4218240.0,628560.0,1.0,0.0,NA
2022-09-09,4218390.0,628710.0,1.0,0.0,NA
2022-09-09,4218480.0,628530.0,1.0,0.0,NA
2022-09-09,4218510.0,628560.0,1.0,0.0,NA
2022-09-09,4218900.0,628740.0,1.0,0.0,NA
2022-09-09,4218570.0,628470.0,1.0,0.0,NA
2022-09-09,4218960.0,628620.0,1.0,0.0,NA
2022-09-09,4218330.0,628740.0,1.0,0.0,NA
2022-09-09,4218390.0,628560.0,1.0,0.0,NA
2022-09-09,4218840.0,628680.0,1.0,0.0,NA
2022-09-09,4218780.0,628650.0,1.0,0.0,NA
2022-09-09,4218930.0,628470.0,1.0,0.0,NA
2022-09-09,4218690.0,628470.0,1.0,0.0,NA
2022-09-09,4218780.0,628770.0,1.0,0.0,NA
2022-09-09,4218420.0,628500.0,1.0,0.0,NA
2022-09-09,4218660.0,628530.0,1.0,0.0,NA
2022-09-09,4218480.0,628770.0,1.0,0.0,NA
2022-09-09,4218930.0,628560.0,1.0,0.0,NA
2022-09-09,4218660.0,628740.0,1.0,0.0,NA
2022-09-09,4218690.0,628710.0,1.0,0.0,NA
2022-09-09,4218240.0,628650.0,1.0,0.0,NA
2022-09-09,4218750.0,628500.0,1.0,0.0,NA
2022-09-09,4218300.0,628530.0,1.0,0.0,NA
2022-09-09,4218450.0,628620.0,1.0,0.0,NA
2022-09-09,4218810.0,628530.0,1.0,0.0,NA
2022-09-09,4218420.0,628590.0,1.0,0.0,NA
2022-09-09,4218660.0,628680.0,1.0,0.0,NA
2022-09-09,4218390.0,628470.0,1.0,0.0,NA
2022-09-09,4218300.0,628470.0,1.0,0.0,NA
2022-09-09,4218720.0,628740.0,1.0,0.0,NA
2022-09-09,4218780.0,628710.0,1.0,0.0,NA
2022-09-09,4218240.0,628680.0,1.0,0.0,NA
2022-09-09,4218450.0,628530.0,1.0,0.0,NA
2022-09-09,4218900.0,628650.0,1.0,0.0,NA
2022-09-09,4218360.0,628740.0,1.0,0.0,NA
2022-09-09,4218480.0,628500.0,1.0,0.0,NA
2022-09-09,4218330.0,628650.0,1.0,0.0,NA
2022-09-09,4218420.0,628770.0,1.0,0.0,NA
2022-09-09,4218240.0,628620.0,1.0,0.0,NA
2022-09-09,4218450.0,628740.0,1.0,0.0,NA
2022-09-09,4218960.0,628740.0,1.0,0.0,NA
2022-09-09,4218840.0,628650.0,1.0,0.0,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-10,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
2022-09-11,NA,NA,NA,NA,NA
